series,episode,baker,baker_last_name,signature_bake,show_stopper,technical,result,baker_age,baker_occupation,hometown
1,1,Annetha,Mills,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,IN,30,Midwife,Essex
1,1,David,Chambers,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,IN,31,Entrepreneur,Milton Keynes
1,1,Edd,Kimber,Caramel Cinnamon and Banana Cake,N/A,1,IN,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder,Randhawa,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,NA,IN,45,Assistant Credit Control Manager,Birmingham
1,1,Jonathan,Shepherd,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,IN,25,Research Analyst,St Albans
1,1,Lea,Harris,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,10,OUT,51,Retired,"Midlothian, Scotland"
1,1,Louise,Brimelow,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,IN,44,Police Officer,Manchester
1,1,Mark,Whithers,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,OUT,48,Bus Driver,South Wales
1,1,Miranda,Browne,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,8,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,1,Ruth,Clemens,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,2,Annetha,Mills,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,OUT,30,Midwife,Essex
1,2,David,Chambers,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,IN,31,Entrepreneur,Milton Keynes
1,2,Edd,Kimber,Oatmeal Raisin Cookie,Pink Macarons,6,IN,24,Debt collector for Yorkshire Bank,Bradford
1,2,Jasminder,Randhawa,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,2,IN,45,Assistant Credit Control Manager,Birmingham
1,2,Jonathan,Shepherd,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,1,IN,25,Research Analyst,St Albans
1,2,Louise,Brimelow,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",4,OUT,44,Police Officer,Manchester
1,2,Miranda,Browne,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,2,Ruth,Clemens,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,5,IN,31,Retail manager/Housewife,"Poynton, Cheshire"
1,3,David,Chambers,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",4,IN,31,Entrepreneur,Milton Keynes
1,3,Edd,Kimber,Olive Bread,Tomato and Mozzarella,1,IN,24,Debt collector for Yorkshire Bank,Bradford
1,3,Jasminder,Randhawa,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",5,IN,45,Assistant Credit Control Manager,Birmingham
1,3,Jonathan,Shepherd,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",6,OUT,25,Research Analyst,St Albans
1,3,Miranda,Browne,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",3,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,3,Ruth,Clemens,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",NA,NA,31,Retail manager/Housewife,"Poynton, Cheshire"
1,4,David,Chambers,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5,OUT,31,Entrepreneur,Milton Keynes
1,4,Edd,Kimber,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",3,IN,24,Debt collector for Yorkshire Bank,Bradford
1,4,Jasminder,Randhawa,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",2,IN,45,Assistant Credit Control Manager,Birmingham
1,4,Miranda,Browne,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",1,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,4,Ruth,Clemens,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",NA,NA,31,Retail manager/Housewife,"Poynton, Cheshire"
1,5,Edd,Kimber,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",2,IN,24,Debt collector for Yorkshire Bank,Bradford
1,5,Jasminder,Randhawa,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",4,OUT,45,Assistant Credit Control Manager,Birmingham
1,5,Miranda,Browne,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",1,IN,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,5,Ruth,Clemens,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",NA,NA,31,Retail manager/Housewife,"Poynton, Cheshire"
1,6,Edd,Kimber,Cinnamon and Banana Cake,NA,NA,WINNER,24,Debt collector for Yorkshire Bank,Bradford
1,6,Miranda,Browne,Lemon Cupcake,Eliminated after signature,NA,Runner-up,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
1,6,Ruth,Clemens,"Mint, Ginger and Blackberry Cake",NA,NA,NA,31,Retail manager/Housewife,"Poynton, Cheshire"
2,1,Ben,Frazer,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,NA,NA,31,Graphic Designer,Northampton
2,1,Holly,Bell,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,1,STAR BAKER,31,Advertising executive,Leicester
2,1,Ian,Vallance,Apple and Cinnamon Cupcakes,UNKNOWN,10,IN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,1,Janet,Basu,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool"
2,1,Jason,White,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,6,IN,19,Civil Engineering Student,Croydon
2,1,Jo,Wheatley,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,2,IN,41,Housewife,"Ongar, Essex"
2,1,Keith,Batsford,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,12,OUT,31,House husband,"Arlesey, Bedfordshire"
2,1,Mary-Anne,Boermans,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,4,IN,45,Housewife,"Kidderminster, Worcestershire"
2,1,Robert,Billington,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,3,IN,25,Photographer,London
2,1,Simon,Blackwell,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,9,IN,31,Rugby Coach,Norfolk
2,1,Urvashi,Roe,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,7,IN,40,Head of Marketing,"Enfield, London"
2,1,Yasmin,Limbert,Cardamom and Pomegranate Cupcakes,UNKNOWN,5,IN,43,Childminder,"West Kirby, The Wirral"
2,2,Ben,Frazer,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,NA,NA,31,Graphic Designer,Northampton
2,2,Holly,Bell,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,4,IN,31,Advertising executive,Leicester
2,2,Ian,Vallance,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,2,IN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,2,Janet,Basu,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool"
2,2,Jason,White,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,3,STAR BAKER,19,Civil Engineering Student,Croydon
2,2,Jo,Wheatley,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,1,IN,41,Housewife,"Ongar, Essex"
2,2,Mary-Anne,Boermans,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,9,IN,45,Housewife,"Kidderminster, Worcestershire"
2,2,Robert,Billington,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",5,IN,25,Photographer,London
2,2,Simon,Blackwell,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",11,OUT,31,Rugby Coach,Norfolk
2,2,Urvashi,Roe,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,7,IN,40,Head of Marketing,"Enfield, London"
2,2,Yasmin,Limbert,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,6,IN,43,Childminder,"West Kirby, The Wirral"
2,3,Ben,Frazer,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,NA,NA,31,Graphic Designer,Northampton
2,3,Holly,Bell,Picnic Loaf,Stilton and Walnut Rolls,6,IN,31,Advertising executive,Leicester
2,3,Ian,Vallance,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,10,OUT,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,3,Janet,Basu,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,8,IN,63,Teacher of Modern Languages,"Formby, Liverpool"
2,3,Jason,White,Cheese and Onion Tear and Share Loaf,UNKNOWN,7,IN,19,Civil Engineering Student,Croydon
